Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1)
1208,0.23956
1207,0.2322
1206,0.24224
1205,0.25122
1204,0.25104
1203,0.25326
1202,0.24488
1201,0.24318
1200,0.25168
1199,0.26274
1198,0.26774
1197,0.26978
1196,0.26804
1195,0.25792
1194,0.27102
1193,0.27414
1192,0.27126
1191,0.25826
1190,0.26714
1189,0.27884
1188,0.27492
1187,0.27776
1186,0.2748
1185,0.2662
1184,0.27236
1183,0.2696
1182,0.28104
1181,0.29366
1180,0.27554
1179,0.27856
1178,0.28554
1177,0.28974
1176,0.27674
1175,0.28556
1174,0.28012
1173,0.2811
1172,0.28558
1171,0.28734
1170,0.2959
1169,0.281
1168,0.2949
1167,0.28654
1166,0.27464
1165,0.29402
1164,0.288
1163,0.29952
1162,0.28094
1161,0.28938
1160,0.28464
1159,0.2877
1158,0.2882
1157,0.27958
1156,0.27878
1155,0.28396
1154,0.27974
1153,0.2817
1152,0.28016
1151,0.27816
1150,0.28456
1149,0.27314
1148,0.279
1147,0.2715
1146,0.26856
1145,0.2851
1144,0.27202
1143,0.2725
1142,0.2754
1141,0.26228
1140,0.26492
1139,0.27738
1138,0.25722
1137,0.26284
1136,0.26706
1135,0.26706
1134,0.26288
1133,0.2666
1132,0.26462
1131,0.26414
1130,0.26354
1129,0.2643
1128,0.27224
1127,0.2637
1126,0.26556
1125,0.26778
1124,0.26682
1123,0.25696
1122,0.25056
1121,0.25616
1120,0.25916
1119,0.25658
1118,0.25276
1117,0.26684
1116,0.26808
1115,0.2599
1114,0.25174
1113,0.23998
1112,0.2452
1111,0.251
1110,0.23968
1109,0.24374
1108,0.23694
1107,0.23118
1106,0.24198
1105,0.24646
1104,0.24582
1103,0.24772
1102,0.2405
1101,0.23666
1100,0.22984
1099,0.22996
1098,0.2358
1097,0.24664
1096,0.23948
1095,0.22822
1094,0.22776
1093,0.23192
1092,0.2336
1091,0.23386
1090,0.2331
1089,0.23062
1088,0.23426
1087,0.22736
1086,0.2209
1085,0.21918
1084,0.22376
1083,0.22862
1082,0.22792
1081,0.21902
1080,0.22018
1079,0.22702
1078,0.22396
1077,0.2257
1076,0.23096
1075,0.21836
1074,0.21386
1073,0.21214
1072,0.21262
1071,0.217
1070,0.21412
1069,0.2126
1068,0.21206
1067,0.2158
1066,0.21812
1065,0.21292
1064,0.2247
1063,0.22706
1062,0.2205
1061,0.21762
1060,0.21138
1059,0.21486
1058,0.2144
1057,0.21108
1056,0.21844
1055,0.2168
1054,0.21858
1053,0.21164
1052,0.21192
1051,0.21208
1050,0.20222
1049,0.19754
1048,0.20742
1047,0.21624
1046,0.209
1045,0.20888
1044,0.2127
1043,0.21286
1042,0.20416
1041,0.20004
1040,0.20276
1039,0.20684
1038,0.21292
1037,0.20734
1036,0.1976
1035,0.20912
1034,0.20632
1033,0.20934
1032,0.2133
1031,0.20994
1030,0.19844
1029,0.1996
1028,0.20782
1027,0.21042
1026,0.21046
1025,0.20838
1024,0.20894
1023,0.20092
1022,0.2052
1021,0.21468
1020,0.21082
1019,0.20346
1018,0.19494
1017,0.20016
1016,0.19944
1015,0.2005
1014,0.20162
1013,0.20218
1012,0.19926
1011,0.21204
1010,0.21316
1009,0.20698
1008,0.2106
1007,0.20868
1006,0.20266
1005,0.21298
1004,0.21112
1003,0.20466
1002,0.19856
1001,0.20462
1000,0.21026
999,0.21538
998,0.21734
997,0.2097
996,0.2064
995,0.21058
994,0.2022
993,0.21228
992,0.20944
991,0.20272
990,0.21156
989,0.20866
988,0.21418
987,0.22346
986,0.2103
985,0.2119
984,0.2224
983,0.21674
982,0.2169
981,0.21714
980,0.22018
979,0.21824
978,0.21832
977,0.21094
976,0.21718
975,0.21966
974,0.23114
973,0.22672
972,0.23128
971,0.2125
970,0.22422
969,0.21818
968,0.22768
967,0.22892
966,0.24384
965,0.2217
964,0.23396
963,0.22858
962,0.22792
961,0.23456
960,0.22142
959,0.22612
958,0.21666
957,0.22546
956,0.23514
955,0.24424
954,0.22944
953,0.23702
952,0.23534
951,0.23628
950,0.22458
949,0.2249
948,0.22562
947,0.23114
946,0.23598
945,0.24394
944,0.22186
943,0.24244
942,0.23746
941,0.24144
940,0.2527
939,0.2455
938,0.22194
937,0.22768
936,0.25476
935,0.24886
934,0.25332
933,0.2619
932,0.2519
931,0.25164
930,0.26926
929,0.24838
928,0.26026
927,0.25296
926,0.26354
925,0.2707
924,0.2506
923,0.26112
922,0.25776
921,0.25816
920,0.25854
919,0.26634
918,0.27406
917,0.26386
916,0.2679
915,0.2696
914,0.27212
913,0.2693
912,0.26852
911,0.26456
910,0.27704
909,0.28402
908,0.27928
907,0.27686
906,0.2786
905,0.27362
904,0.27792
903,0.28504
902,0.28726
901,0.29046
900,0.2893
899,0.2921
898,0.2991
897,0.30568
896,0.29398
895,0.30106
894,0.31458
893,0.30598
892,0.31118
891,0.30304
890,0.30088
889,0.30944
888,0.31252
887,0.31276
886,0.31896
885,0.32972
884,0.3249
883,0.3296
882,0.32576
881,0.32338
880,0.32764
879,0.33914
878,0.3373
877,0.33628
876,0.34072
875,0.3455
874,0.33612
873,0.33436
872,0.33602
871,0.34144
870,0.35178
869,0.35242
868,0.34348
867,0.35168
866,0.35812
865,0.35812
864,0.35772
863,0.36624
851,0.39238
850,0.39416
849,0.3975
848,0.40014
847,0.39462
846,0.39536
845,0.40388
844,0.40526
843,0.40342
842,0.40318
841,0.40426
840,0.40596
839,0.40666
838,0.40958
837,0.41066
836,0.40884
835,0.41046
834,0.4114
833,0.41592
832,0.42316
831,0.42306
830,0.42306
829,0.42508
828,0.42518
827,0.42914
826,0.43588
825,0.4378
824,0.43854
823,0.44212
822,0.4425
821,0.44308
820,0.44756
819,0.45124
818,0.45282
817,0.45298
816,0.45368
815,0.45966
814,0.46578
813,0.4669
812,0.46752
811,0.47106
810,0.47172
809,0.47502
808,0.47954
807,0.48058
806,0.48074
805,0.48594
804,0.49
803,0.48996
802,0.49272
801,0.49274
800,0.49694
799,0.50148
798,0.50288
797,0.50338
796,0.50442
795,0.51016
794,0.51446
793,0.51392
792,0.51392
791,0.51634
790,0.51902
789,0.51878
788,0.52598
787,0.5311
786,0.534
785,0.53184
784,0.53418
783,0.53638
782,0.54118
781,0.54244
780,0.54256
779,0.54628
778,0.5504
777,0.55212
776,0.559
775,0.55842
774,0.5581
773,0.55994
772,0.56228
771,0.56112
770,0.57
769,0.5741
768,0.57296
767,0.57656
766,0.58042
765,0.58292
764,0.58502
763,0.58468
762,0.5867
761,0.5896
760,0.59248
759,0.59416
758,0.60214
757,0.60364
756,0.60258
755,0.60934
754,0.60952
753,0.60996
752,0.61806
751,0.61718
750,0.6202
749,0.62224
748,0.6248
747,0.62618
746,0.63342
745,0.63564
744,0.6355
743,0.63812
742,0.64374
741,0.64456
740,0.64962
739,0.65142
738,0.65394
737,0.65736
736,0.66076
735,0.6628
734,0.66794
733,0.66922
732,0.67234
731,0.67338
730,0.67966
729,0.67712
728,0.68754
727,0.6851
726,0.68642
725,0.6913
724,0.69612
723,0.6987
722,0.70556
721,0.70608
720,0.7034
719,0.70924
718,0.71328
717,0.71502
716,0.72688
715,0.7267
714,0.7286
713,0.73246
712,0.7333
711,0.73954
710,0.7471
709,0.7445
708,0.74746
707,0.74956
706,0.75118
705,0.75242
704,0.7692
703,0.76624
702,0.7706
701,0.7749
700,0.78022
699,0.77692
698,0.78788
697,0.79218
696,0.7912
695,0.79344
694,0.80318
693,0.80378
692,0.8107
691,0.81644
690,0.81522
689,0.80554
688,0.8058
687,0.8081
686,0.81578
685,0.81534
684,0.8203
683,0.82804
682,0.83052
681,0.83614
680,0.8457
679,0.84856
678,0.8509
677,0.85498
676,0.85924
675,0.86214
674,0.87032
673,0.87942
672,0.88374
671,0.88872
670,0.89182
669,0.89402
668,0.90576
667,0.91152
666,0.91696
665,0.91584
664,0.90394
663,0.91322
662,0.93748
661,0.95164
660,0.94774
659,0.95352
658,0.9638
657,0.96724
656,0.97304
655,0.98402
654,0.9884
653,0.99036
652,0.99784
651,1.00476
650,1.01386
649,1.01978
648,1.02548
647,1.03226
646,1.03786
645,1.04436
644,1.0551
643,1.06274
642,1.06578
641,1.07296
640,1.07954
639,1.08622
638,1.09974
637,1.10818
636,1.1108
635,1.11988
634,1.12934
633,1.13526
632,1.1438
631,1.15368
630,1.1601
629,1.16698
628,1.17628
627,1.18356
626,1.19536
625,1.20472
624,1.2097
623,1.21938
622,1.23008
621,1.24016
620,1.24964
619,1.25756
618,1.26554
617,1.27556
616,1.2888
615,1.30162
614,1.3095
613,1.31914
612,1.32556
611,1.33288
610,1.34484
