Wvlgth nm,Global tilt  W*m-2*nm-1,photon energy (J),photon flux (s-1 m-2 nm-1)
1104.0,4.6765E-01,1.79934E-19,2.5990E+18
1105.0,5.0644E-01,1.79771E-19,2.8171E+18
1106.0,3.9792E-01,1.79609E-19,2.2155E+18
1107.0,4.8304E-01,1.79447E-19,2.6918E+18
1108.0,4.1565E-01,1.79285E-19,2.3184E+18
1109.0,4.1278E-01,1.79123E-19,2.3044E+18
1110.0,4.7899E-01,1.78962E-19,2.6765E+18
1111.0,3.3154E-01,1.78801E-19,1.8542E+18
1112.0,4.1357E-01,1.7864E-19,2.3151E+18
1113.0,2.6850E-01,1.78479E-19,1.5044E+18
1114.0,2.9985E-01,1.78319E-19,1.6815E+18
1115.0,2.4987E-01,1.78159E-19,1.4025E+18
1116.0,2.0136E-01,1.78E-19,1.1312E+18
1117.0,7.9618E-02,1.7784E-19,4.4769E+17
1118.0,2.1753E-01,1.77681E-19,1.2243E+18
1119.0,1.1317E-01,1.77522E-19,6.3750E+17
1120.0,1.4189E-01,1.77364E-19,7.9999E+17
1121.0,1.8586E-01,1.77206E-19,1.0488E+18
1122.0,8.1686E-02,1.77048E-19,4.6138E+17
1123.0,1.2817E-01,1.7689E-19,7.2457E+17
1124.0,1.0870E-01,1.76733E-19,6.1505E+17
1125.0,1.4428E-01,1.76576E-19,8.1710E+17
1126.0,5.1589E-02,1.76419E-19,2.9242E+17
1127.0,1.5725E-01,1.76262E-19,8.9214E+17
1128.0,9.9224E-02,1.76106E-19,5.6343E+17
1129.0,1.0591E-01,1.7595E-19,6.0193E+17
1130.0,7.0574E-02,1.75794E-19,4.0146E+17
1131.0,2.9560E-01,1.75639E-19,1.6830E+18
1132.0,2.3411E-01,1.75484E-19,1.3341E+18
1133.0,1.5331E-01,1.75329E-19,8.7441E+17
1134.0,4.1740E-02,1.75174E-19,2.3828E+17
1135.0,1.5462E-02,1.7502E-19,8.8344E+16
1136.0,1.2876E-01,1.74866E-19,7.3634E+17
1137.0,2.8785E-01,1.74712E-19,1.6476E+18
1138.0,2.0329E-01,1.74558E-19,1.1646E+18
1139.0,2.9850E-01,1.74405E-19,1.7115E+18
1140.0,2.5599E-01,1.74252E-19,1.4691E+18
1141.0,1.9337E-01,1.74099E-19,1.1107E+18
1142.0,2.2479E-01,1.73947E-19,1.2923E+18
1143.0,3.1183E-01,1.73795E-19,1.7942E+18
1144.0,1.1326E-01,1.73643E-19,6.5226E+17
1145.0,1.4604E-01,1.73491E-19,8.4177E+17
1146.0,1.5764E-01,1.7334E-19,9.0943E+17
1147.0,5.9176E-02,1.73189E-19,3.4169E+17
1148.0,2.7113E-01,1.73038E-19,1.5669E+18
1149.0,2.1854E-01,1.72887E-19,1.2641E+18
1150.0,1.2164E-01,1.72737E-19,7.0419E+17
1151.0,2.0340E-01,1.72587E-19,1.1785E+18
1152.0,2.4762E-01,1.72437E-19,1.4360E+18
1153.0,2.3812E-01,1.72287E-19,1.3821E+18
1154.0,1.4248E-01,1.72138E-19,8.2771E+17
1155.0,3.1316E-01,1.71989E-19,1.8208E+18
1156.0,2.8090E-01,1.7184E-19,1.6347E+18
1157.0,3.1458E-01,1.71692E-19,1.8322E+18
1158.0,3.1171E-01,1.71544E-19,1.8171E+18
1159.0,3.3693E-01,1.71396E-19,1.9658E+18
1160.0,2.8648E-01,1.71248E-19,1.6729E+18
1161.0,3.4753E-01,1.711E-19,2.0311E+18
1162.0,3.5002E-01,1.70953E-19,2.0475E+18
1163.0,4.6857E-01,1.70806E-19,2.7433E+18
1164.0,4.0188E-01,1.70659E-19,2.3549E+18
1165.0,3.8860E-01,1.70513E-19,2.2790E+18
1166.0,3.7494E-01,1.70367E-19,2.2008E+18
1167.0,4.0996E-01,1.70221E-19,2.4084E+18
1168.0,4.1954E-01,1.70075E-19,2.4668E+18
1169.0,4.2310E-01,1.69929E-19,2.4899E+18
1170.0,4.5873E-01,1.69784E-19,2.7018E+18
1171.0,4.4831E-01,1.69639E-19,2.6427E+18
1172.0,4.5483E-01,1.69494E-19,2.6835E+18
1173.0,4.5642E-01,1.6935E-19,2.6951E+18
1174.0,3.3692E-01,1.69206E-19,1.9912E+18
1175.0,4.5240E-01,1.69062E-19,2.6759E+18
1176.0,4.7679E-01,1.68918E-19,2.8226E+18
1177.0,4.7235E-01,1.68774E-19,2.7987E+18
1178.0,3.6000E-01,1.68631E-19,2.1348E+18
1179.0,4.8371E-01,1.68488E-19,2.8709E+18
1180.0,4.4069E-01,1.68345E-19,2.6178E+18
1181.0,4.5514E-01,1.68203E-19,2.7059E+18
1182.0,3.2318E-01,1.6806E-19,1.9230E+18
1183.0,4.3870E-01,1.67918E-19,2.6126E+18
1184.0,4.1985E-01,1.67777E-19,2.5024E+18
1185.0,4.0741E-01,1.67635E-19,2.4303E+18
1186.0,4.7715E-01,1.67494E-19,2.8488E+18
1187.0,4.5575E-01,1.67353E-19,2.7233E+18
1188.0,3.3504E-01,1.67212E-19,2.0037E+18
1189.0,4.1569E-01,1.67071E-19,2.4881E+18
1190.0,4.6239E-01,1.66931E-19,2.7700E+18
1191.0,4.4660E-01,1.6679E-19,2.6776E+18
1192.0,4.7336E-01,1.66651E-19,2.8404E+18
1193.0,4.5434E-01,1.66511E-19,2.7286E+18
1194.0,4.6890E-01,1.66371E-19,2.8184E+18
1195.0,4.4696E-01,1.66232E-19,2.6888E+18
1196.0,4.3131E-01,1.66093E-19,2.5968E+18
1197.0,4.7715E-01,1.65954E-19,2.8752E+18
1198.0,4.3392E-01,1.65816E-19,2.6169E+18
1199.0,3.6489E-01,1.65678E-19,2.2024E+18
1200.0,4.4825E-01,1.6554E-19,2.7078E+18
1201.0,4.3708E-01,1.65402E-19,2.6425E+18
1202.0,4.3717E-01,1.65264E-19,2.6453E+18
1203.0,4.3409E-01,1.65127E-19,2.6288E+18
1204.0,3.6247E-01,1.6499E-19,2.1969E+18
1205.0,4.3692E-01,1.64853E-19,2.6504E+18
1206.0,4.8086E-01,1.64716E-19,2.9193E+18
1207.0,4.2986E-01,1.6458E-19,2.6119E+18
1208.0,4.3346E-01,1.64443E-19,2.6359E+18
1209.0,4.1428E-01,1.64307E-19,2.5214E+18
1210.0,4.5336E-01,1.64171E-19,2.7615E+18
1211.0,4.2232E-01,1.64036E-19,2.5746E+18
1212.0,4.2489E-01,1.63901E-19,2.5924E+18
1213.0,4.6956E-01,1.63765E-19,2.8673E+18
1214.0,4.3407E-01,1.63631E-19,2.6527E+18
1215.0,4.2780E-01,1.63496E-19,2.6166E+18
1216.0,4.6640E-01,1.63361E-19,2.8550E+18
1217.0,4.5528E-01,1.63227E-19,2.7892E+18
1218.0,4.5934E-01,1.63093E-19,2.8164E+18
1219.0,4.4663E-01,1.62959E-19,2.7407E+18
1220.0,4.5805E-01,1.62826E-19,2.8131E+18
1221.0,4.6531E-01,1.62692E-19,2.8601E+18
1222.0,4.5139E-01,1.62559E-19,2.7768E+18
1223.0,4.4406E-01,1.62426E-19,2.7339E+18
1224.0,4.4808E-01,1.62294E-19,2.7609E+18
1225.0,4.6236E-01,1.62161E-19,2.8512E+18
1226.0,4.6819E-01,1.62029E-19,2.8895E+18
1227.0,4.3304E-01,1.61897E-19,2.6748E+18
1228.0,4.6658E-01,1.61765E-19,2.8843E+18
1229.0,4.6721E-01,1.61633E-19,2.8906E+18
1230.0,4.6003E-01,1.61502E-19,2.8484E+18
1231.0,4.7203E-01,1.61371E-19,2.9251E+18
1232.0,4.6633E-01,1.6124E-19,2.8922E+18
1233.0,4.5397E-01,1.61109E-19,2.8178E+18
1234.0,4.7016E-01,1.60979E-19,2.9206E+18
1235.0,4.6504E-01,1.60848E-19,2.8912E+18
1236.0,4.6908E-01,1.60718E-19,2.9187E+18
1237.0,4.6339E-01,1.60588E-19,2.8856E+18
1238.0,4.6797E-01,1.60458E-19,2.9165E+18
1239.0,4.6272E-01,1.60329E-19,2.8861E+18
1240.0,4.6077E-01,1.602E-19,2.8762E+18
1241.0,4.6197E-01,1.6007E-19,2.8860E+18
1242.0,4.6247E-01,1.59942E-19,2.8915E+18
1243.0,4.5754E-01,1.59813E-19,2.8630E+18
1244.0,4.5528E-01,1.59684E-19,2.8511E+18
1245.0,4.5655E-01,1.59556E-19,2.8614E+18
1246.0,4.5945E-01,1.59428E-19,2.8819E+18
1247.0,4.5746E-01,1.593E-19,2.8717E+18
1248.0,4.5860E-01,1.59173E-19,2.8811E+18
1249.0,4.5966E-01,1.59045E-19,2.8901E+18
1250.0,4.5705E-01,1.58918E-19,2.8760E+18
1251.0,4.5258E-01,1.58791E-19,2.8502E+18
1252.0,4.5097E-01,1.58664E-19,2.8423E+18
1253.0,4.4773E-01,1.58537E-19,2.8241E+18
1254.0,4.4363E-01,1.58411E-19,2.8005E+18
1255.0,4.5070E-01,1.58285E-19,2.8474E+18
1256.0,4.4023E-01,1.58159E-19,2.7835E+18
1257.0,4.3532E-01,1.58033E-19,2.7546E+18
1258.0,4.4496E-01,1.57907E-19,2.8179E+18
1259.0,4.2725E-01,1.57782E-19,2.7079E+18
1260.0,4.3110E-01,1.57657E-19,2.7344E+18
