Wavelength (nm),Mass Attenuation Coeff (Lg-1cm-1),Mass Attenuation Coeff (Lg-1cm-1)
Wavelength (nm),TIPS-Tc,PbS-TET-CA
577,0.0159,1.69736
576,0.01553,1.7051
575,0.02473,1.73488
574,0.02786,1.75346
573,0.02943,1.76626
572,0.03407,1.78864
571,0.03696,1.81052
570,0.03833,1.8283
569,0.0392,1.84818
568,0.044,1.87604
567,0.05382,1.91234
566,0.05663,1.9389
565,0.06481,1.97414
564,0.0785,2.02352
563,0.09594,2.07988
562,0.1216,2.14962
561,0.15449,2.23756
560,0.19319,2.32762
559,0.24081,2.4279
558,0.30272,2.5585
557,0.3813,2.70796
556,0.47877,2.86594
555,0.60505,3.04698
554,0.76931,3.24548
553,0.9807,3.44958
552,1.2443,3.65422
551,1.58271,3.8482
550,2.01305,4.01842
549,2.55785,4.15404
548,3.23647,4.24626
547,4.06983,4.28268
546,5.09426,4.27618
545,6.34641,4.22466
544,7.83847,4.13086
543,9.61672,4.01396
542,11.65909,3.88368
541,14.01401,3.74796
540,16.61376,3.62808
539,19.31365,3.5076
538,21.92039,3.3941
537,24.06398,3.30028
536,25.42089,3.21518
535,25.80298,3.13762
534,25.08886,3.07908
533,23.40485,3.02562
532,21.07778,2.9742
531,18.5487,2.93368
530,16.21609,2.90302
529,14.24615,2.87694
528,12.64733,2.8718
527,11.37958,2.87144
526,10.28886,2.86364
525,9.3042,2.88098
524,8.35091,2.9065
523,7.44261,2.94482
522,6.61918,2.99698
521,5.91536,3.06112
520,5.36183,3.13756
519,4.93674,3.23112
518,4.62216,3.33992
517,4.3894,3.45534
516,4.21812,3.58834
515,4.10624,3.72524
514,4.06776,3.8503
513,4.1276,3.98028
512,4.31508,4.09924
511,4.65257,4.20086
510,5.16227,4.28128
509,5.8513,4.32464
508,6.73764,4.33582
507,7.80221,4.3164
506,9.03328,4.26618
505,10.39093,4.19376
504,11.84015,4.10854
503,13.3049,4.006
502,14.67245,3.89982
501,15.88151,3.7995
500,16.78873,3.70292
499,17.28679,3.61278
498,17.29015,3.53786
497,16.7761,3.47262
496,15.8338,3.40488
495,14.62734,3.35608
494,13.29769,3.31736
493,11.94078,3.2793
492,10.66045,3.26818
491,9.47689,3.25294
490,8.41352,3.2465
489,7.4605,3.2484
488,6.61954,3.26308
487,5.89164,3.28342
486,5.2649,3.31856
485,4.73974,3.36002
484,4.30365,3.39952
483,3.95169,3.44966
482,3.68272,3.50602
481,3.48347,3.55764
480,3.36512,3.6188
479,3.31511,3.66554
478,3.34508,3.70238
477,3.46042,3.74234
476,3.66262,3.76614
475,3.94201,3.77762
474,4.29322,3.78686
473,4.69225,3.77572
472,5.12138,3.75742
471,5.54542,3.73296
470,5.9347,3.70576
469,6.25595,3.6736
468,6.48634,3.64792
467,6.59012,3.61896
466,6.55967,3.58896
465,6.39574,3.57052
464,6.1156,3.55376
463,5.73948,3.54122
462,5.30655,3.54496
461,4.83934,3.54484
460,4.36966,3.54384
459,3.9124,3.55256
458,3.48595,3.56728
457,3.10671,3.58294
456,2.77098,3.61292
455,2.4805,3.63502
454,2.23349,3.6553
453,2.03074,3.68668
452,1.8666,3.71814
451,1.73689,3.74888
450,1.64417,3.7926
449,1.58115,3.82242
448,1.54767,3.85072
447,1.54594,3.88396
446,1.57026,3.91294
445,1.61194,3.93032
444,1.67571,3.96196
443,1.74208,3.98466
442,1.8084,4.00208
441,1.86625,4.0245
440,1.90413,4.04302
439,1.91778,4.06102
438,1.90587,4.08962
437,1.86303,4.1151
436,1.79269,4.13686
435,1.70043,4.16682
434,1.59186,4.19712
433,1.47222,4.23104
432,1.35206,4.27116
431,1.23067,4.3077
430,1.1205,4.34682
429,1.02128,4.39152
428,0.93412,4.43624
427,0.86286,4.48338
426,0.80732,4.54244
425,0.76387,4.59302
424,0.73524,4.64656
423,0.72165,4.70068
422,0.72367,4.7561
421,0.74198,4.8127
420,0.78139,4.8713
419,0.84116,4.91876
418,0.93104,4.95892
417,1.05316,4.99896
416,1.21481,5.039
415,1.42449,5.0791
414,1.68125,5.13032
413,1.96181,5.17394
412,2.22269,5.21716
411,2.38925,5.26984
410,2.38496,5.32534
409,2.20745,5.37918
408,1.93814,5.44416
407,1.67271,5.50464
406,1.46695,5.56612
405,1.32496,5.63362
404,1.22663,5.70376
403,1.15927,5.77758
402,1.11841,5.8545
401,1.09525,5.92978
400,1.09074,6.00462
